アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
英語辞書・英和辞典・翻訳 - 英辞郎 on the WEB,ALC PRESS INC.,Reference,4.57733,53999,0.0,2010-04-09,2026-07-07,英単語,,,,,,,,,,,,,,,,,,○
英単語モチタン-英語/韓国語/中国語/フランス語の単語ゲーム,"ASTRAN, K.K.",Education,4.43208,50095,0.0,2023-11-16,2026-07-18,TOEIC/英単語/英検,○,○,○,,,○,○,○,○,,○,,,,,,○,○
中学社会 地理・歴史・公民,"StudySwitch, Inc.",Education,4.70641,49619,0.0,2016-10-05,2026-03-11,QC検定/一問一答/教員採用試験/数検,,,○,○,,,,,,,,,,,,,,
シフト勤務カレンダー：仕事とスケジュールをシンプルに管理,Ebisu Soft Inc.,Productivity,4.44312,45997,0.0,2012-09-10,2026-07-26,保育士,,,,,,,○,,,,,○,,,,,,
数学トレーニング,"StudySwitch, Inc.",Education,4.67907,45564,0.0,2016-01-19,2025-12-10,一問一答/数検/行政書士/高卒認定,○,,,,,,,,,,,,,,,,,
保育園の２歳以上の幼児用ゲーム,Bimi Boo Kids Learning Games for Toddlers FZ LLC,Education,4.23383,44931,0.0,2016-12-09,2026-06-05,保育士,,,,,,,,,,,,,,,,,,
小学生ドリル放題 - 手書き漢字ドリルなどの勉強アプリ,"StudySwitch, Inc.",Education,4.55123,44223,0.0,2012-02-02,2026-05-31,漢字検定/漢検/銀行業務検定,,,,,,,,,,,,,,,,,,
SPI言語・非言語対策問題集　就活/転職対策アプリ,yuth inc.,Education,4.62589,43291,0.0,2018-05-20,2025-09-23,公務員試験/試験対策,○,○,○,○,,,,,,,○,○,,,○,,,
ToDoリスト リマインダー通知付きのメモ帳&やることリスト,App Palette LLC,Productivity,4.67035,42365,0.0,2016-11-08,2026-07-21,学習記録,,,,,,,,,,,,○,,,,,,
宅建 過去問 2026 - 独学TODAY,Trips LLC,Education,4.76377,41205,0.0,2018-10-03,2026-06-14,ビジネス実務法務/マンション管理士/一問一答/公務員試験,○,,○,,○,,,,,○,,,,,,,,
英検®トレーニング - 2級から3級に対応,"StudySwitch, Inc.",Education,4.70627,38282,0.0,2019-07-03,2026-06-08,英検,,,○,,,,,,,,,,,,,,,
英検®英単語,"StudySwitch, Inc.",Education,4.57195,38110,0.0,2014-12-19,2026-04-10,英単語/英検,,,,,,,,,,,,,,,,,,
漢字辞典 - 手書き漢字検索アプリ,Trips LLC,Reference,4.36198,38027,0.0,2019-03-01,2026-06-02,漢検,,,,,,,,,,,,,,,,,,○
英会話や英単語を聞き流し - 英語リスニング,"StudySwitch, Inc.",Education,4.57035,37391,0.0,2018-07-26,2025-09-10,TOEFL/TOEIC/英単語,,,,,,,,,,,,,,,,,,
自由ノート: AI ノート・PDF編集・ノート整理・日記帳,FREENOTES AI PTE. LTD.,Productivity,4.59608,35621,0.0,2023-09-05,2026-07-27,学習記録/暗記,○,,,,,,,,,,,,,,○,,,
Cahoメモ帳 人気のかわいいメモ帳アプリ,LAN CHEN,Productivity,4.7706,35092,0.0,2020-05-28,2026-07-02,数検,,,,,,,,,,,,,,,,,,
Focus To-Do: ポモドーロ技術 & タスク管理,"Shenzhen Tomato Software Technology Co., Ltd.",Productivity,4.70158,34904,0.0,2015-03-01,2025-02-01,勉強タイマー/学習記録,,,,,,○,○,,,,,○,,,○,,,
英単語ゲームHAMARU/英語の勉強・英検と単語帳アプリ,HAMARU LLC,Education,4.76933,34805,0.0,2017-03-28,2026-07-28,TOEIC/単語帳/数検/暗記,○,○,,,,,,,,,○,,,,,,,
西暦・和暦・年齢・干支早見表,Shigeyuki Hamamoto,Reference,4.52813,34377,0.0,2013-11-09,2025-12-31,ビジネス実務法務,,,,,,,,,,,,,,,,,,
Claude by Anthropic,Anthropic PBC,Productivity,4.54423,33170,0.0,2024-05-01,2026-07-22,暗記,,,○,,,○,○,,,,,,,,,,,
古文・漢文（古文単語、古典文法、漢文）,"StudySwitch, Inc.",Education,4.71213,32727,0.0,2014-12-12,2026-07-27,模試,○,,,,,,,,,,,,,,,,,
簿記3級 解説付き問題集,Trips LLC,Education,4.72281,30897,0.0,2020-12-22,2026-06-23,ITパスポート/日商簿記/検定/秘書検定,○,,○,,○,,,,,,,,,,,,,
英語学習・英会話 レシピー：毎日続く英語勉強アプリ,POLYGLOTS inc.,Education,4.49174,30833,0.0,2014-06-15,2026-07-27,TOEIC/スキマ時間 学習/英単語/英検,○,○,,○,,○,,○,,,,,,,,,,
英語翻訳機-英文翻訳と英語勉強翻訳辞書,"Shanghai Baowu Network Technology Co., Ltd.",Reference,4.55752,30535,0.0,2019-03-14,2019-03-14,英単語,,,,,,,,,,,,,○,,,,,○
STUDYingアプリ,"KIYO LEARNING CO.,LTD.",Education,4.5867,28986,0.0,2019-08-30,2026-06-09,ITパスポート/スキマ時間 学習/中小企業診断士/公務員試験,○,,○,○,○,○,,,,,,○,,○,,,,
読書管理ブクログ - 本棚/読書記録,"BOOKLOG, INC.",Book,4.54256,27951,0.0,2010-03-14,2026-07-21,学習記録,,,,,○,○,,,,,○,○,,,,,,
介護福祉士 過去問 (解説と模試つき),"SOCIAL NOTE CO., LTD.",Education,4.63356,26220,0.0,2020-02-24,2026-05-04,介護福祉士/暗記/模試/看護師 国家試験,,,○,,,,,,,,,,,,,,,
英語学習・英単語・TOEIC® 英語リスニングのbooco,ALC PRESS INC.,Education,4.54037,24698,0.0,2020-04-29,2026-07-14,TOEIC/単語帳/暗記/英単語,○,○,,○,,○,,○,,○,,,,,,,,
時事問題・一般常識　一問一答　就活・転職の適性検査対策アプリ,yuth inc.,Education,4.58713,24337,0.0,2018-04-22,2025-09-21,一問一答/公務員試験,○,○,○,,,,,,,,○,○,,,○,,,
TOEIC GalaxyWord,ArtDigic,Education,4.83703,24226,0.0,2014-10-28,2015-10-23,TOEIC,,○,,,,,,,,,,,,,,,,
読めないと恥ずかしい漢字,nullhouse Inc.,Education,4.34475,23698,0.0,2014-04-08,2025-08-19,漢字検定/漢検/銀行業務検定,,,,○,,,,,,,,,,,,,,
危険物取扱者乙４　一問一答,yuth inc.,Education,4.58832,23149,0.0,2017-04-11,2025-03-28,一問一答/危険物取扱者/資格/資格 過去問,○,○,○,○,,,,,,,,○,,,,,,
ITパスポート 全問解説 - 独学TODAY,Trips LLC,Education,4.72075,23012,0.0,2018-12-15,2026-07-13,ITパスポート/MOS/国家資格/基本情報技術者,○,,○,,○,,,,,,,,,,,,,
日本史一問一答（解説付き）,"StudySwitch, Inc.",Education,4.70742,22223,0.0,2016-10-29,2026-07-08,QC検定/一問一答/司法書士/数検,,,○,,,,,,,,,,,,,,,
FocusFlight - 集中を取り戻したいあなたへ,Cement Planet LTD,Productivity,4.7239,22032,0.0,2025-01-21,2026-06-07,勉強タイマー,,,,,,,,,,,,○,,,○,,,
レッドキウイ：英語リスニング、英単語、英文法、英会話、勉強,HayanMind Inc.,Education,4.54463,21934,0.0,2017-05-16,2026-06-24,英単語/英検,,,○,○,,,,,,,,,,,,,,○
２歳、３歳、４歳子供向けの知育キッズゲーム,Bimi Boo Kids Learning Games for Toddlers FZ LLC,Education,4.24409,21500,0.0,2015-11-22,2026-06-27,保育士,,,,,,,,,,,,,,,,,,
TOEIC®L&Rテスト対策 -スタディサプリENGLISH,"Recruit Co.,Ltd.",Education,4.59571,21235,0.0,2017-08-07,2026-07-27,TOEIC/英単語,,○,○,○,,,,○,,,,,,,,,,
韓国語単語トレーニング,Flipout LLC,Education,4.60263,21091,0.0,2018-07-25,2025-12-22,単語帳/暗記,,,,,,,,,,,,,,,,,,
PEAK（ピーク）- 脳トレ,Synaptic Labs Ltd,Education,4.40441,20828,0.0,2014-09-01,2026-07-21,メンタルヘルスマネジメント/漢検,,,,,,,,,,,,,,,,,,
翻訳王- 翻訳カメラアプリ,MONOPOLEAPPS K.K.,Reference,4.08558,19315,0.0,2017-06-13,2024-01-21,単語帳,,,,,,,,,,,,,,,,,,○
スタディサプリ 小学/中学/高校/大学受験講座,"Recruit Co.,Ltd.",Education,3.85134,18875,0.0,2016-02-24,2026-07-21,FP技能士/フラッシュカード/勉強タイマー/単語帳,○,○,,,○,,○,,,,,,,,,,,
集中旅行者 - フロータイマー,WEI JEN CHEN,Productivity,4.78335,18412,0.0,2021-06-22,2026-05-30,勉強タイマー,,,,,,,,,,,,,,,○,,○,
じしょ君 - 国語と英和辞典,Johan Olsson,Reference,4.12608,18155,0.0,2013-07-22,2025-11-24,漢字検定,,,,,,,,,,,,,,,,,,○
忘却曲線で暗記アプリ - reminDO,"AT, K.K.",Education,4.56156,17777,0.0,2016-01-17,2026-06-03,単語帳/暗記,○,,,,,,,,,,,○,○,,,,,
みんなの英単語帳 - 受験勉強のための単語帳メーカー -,"Celleus, Inc.",Education,4.45797,17632,0.0,2016-06-30,2024-02-08,単語帳/暗記/模試/英単語,○,○,,,○,,,,,,,,,,,,,
数学クイズ なん度？,"StudySwitch, Inc.",Education,4.50689,17355,0.0,2012-07-14,2026-02-06,数検,,,,,,,,,,,○,,,,,,,
英会話フレーズ1600,Flipout LLC,Education,4.43519,17234,0.0,2017-01-03,2025-12-15,TOEIC,,,,,,,,,,,,,,,,,,
宿題スキャナー：筆跡が消えるアプリ,PIXELCELL PTE. LIMITED,Education,4.53995,17198,0.0,2022-07-12,2026-04-14,数検,○,○,,,,○,,,,,,,,,,,,
英語学習 iKnow!,DMM.com LLC,Education,4.67102,16220,0.0,2011-03-20,2024-11-20,TOEFL/TOEIC,,○,,○,,○,,○,,,,,,,,,,
世界史一問一答（解説付き）,"StudySwitch, Inc.",Education,4.6848,16193,0.0,2016-10-29,2026-04-10,一問一答/高卒認定,,,○,,,,,,,,,,,,,,,
MOJi辞書: 日语专业学习词典,"Krosea (Guangzhou) Co.,Ltd",Reference,4.64211,16111,0.0,2015-07-29,2026-07-24,日本語能力試験,,,,,,,,,,,,,,,,,,○
TickTick: todoリストとタスク管理とカレンダー,Appest Limited,Productivity,4.74827,15445,0.0,2013-06-19,2026-07-29,学習記録,,,,,,,○,,,,,○,,,,,,
小学生漢字ドリル：ひとコマ漢字,Kazue Kuga,Education,4.76036,15181,0.0,2020-06-22,2025-12-02,漢検,,,,,,,,,,,,,,,,,,
スマホをやめれば魚が育つ：勉強時間記録・集中アプリ制限・仕事,Takeshi Segawa,Education,4.5507,15001,0.0,2023-04-20,2026-07-17,勉強タイマー/資格,,,○,,,,,,,,,,,,○,,,
絵本ナビ：365日毎日新しい絵本に出会える,EhonNavi Corporation,Education,4.67216,14574,0.0,2014-03-19,2026-01-14,ケアマネジャー,,,,,,,,,,,,,○,,,,,
あと何日 カウントダウン&カウントアップタイマー,Yoji Shimobayashi,Productivity,4.52029,14492,0.0,2014-10-24,2026-06-29,勉強タイマー,,,,,,,,,,,,○,○,,,,,
英会話リスニング,Flipout LLC,Education,4.53218,14215,0.0,2017-10-10,2025-12-15,TOEIC,,,○,,,,,,,,,,,,,,,
英検®問題集,"StudySwitch, Inc.",Education,4.44085,14100,0.0,2015-11-04,2026-03-14,英単語/英検,,,○,,,,,,,,,,,,,,,
翻訳王 - 英語韓国語中国語多言語翻訳機,植敏 白,Reference,4.50807,14063,0.0,2018-11-15,2022-12-09,英単語,,,,,,,,,,,,,,,,,,
勉強アプリは『暗記の神様』〜単語帳や聞き流しで共通テスト対策,HANAUTA INC.,Education,4.45613,14042,0.0,2020-12-16,2026-07-29,一問一答/勉強タイマー/単語帳/学習記録,○,○,○,○,,,○,○,,,○,,,,,,,
書けないと恥ずかしい脳トレ漢字クイズ,"StudySwitch, Inc.",Education,4.40058,13735,0.0,2016-06-18,2025-12-10,漢字検定/漢検,,,,,,,,,,,,,,,,,,
いちばんやさしい ITパスポート 絶対合格の過去問集,TEKUTEKU K.K.,Education,4.76592,13504,0.0,2022-09-15,2026-07-29,ITパスポート/過去問,,,○,,,○,,,,,,,○,,,,,○
"Notability: メモを取る, PDF, Docs","Ginger Labs, Inc.",Productivity,4.59298,13498,0.0,2010-04-01,2026-07-28,フラッシュカード,,,,,,,,,,,,,,,,,,
TEDICT,CoCO SWING,Education,4.76417,13485,800.0,2012-08-14,2026-05-27,TOEFL/TOEIC,,,,,,,,,,,,,○,,,,,
StudyCast（スタキャス）勉強タイマーで集中力が継続！,Benesse Corporation,Education,4.75107,13349,0.0,2019-12-02,2026-07-14,勉強タイマー/学習記録,○,,○,,,○,○,,,○,○,,,,○,,,
語語ナビ 和英 <> 英和 辞書 Lite オフライン対応!,Till Knorr,Reference,4.22351,13346,0.0,2010-12-14,2018-08-06,TOEFL/英単語/英検,,,,,,,,,,,,,○,○,,,,
俺の電工2種 - 第二種電気工事士の筆記試験アプリ,Keiichi Yamaguchi,Education,4.63974,13160,0.0,2018-01-29,2025-03-14,危険物取扱者/消防設備士/電気工事士/電験三種,,○,,○,○,,,,,,,,,,,,,
テスト勉強アプリ 暗記メーカー 単語帳・問題集を簡単作成,"QuizMarket, K.K.",Education,4.66134,12892,0.0,2017-02-07,2026-07-28,フラッシュカード/一問一答/単語帳/暗記,○,○,○,○,,,,,,,,,,○,○,,,
おしゃれ名刺作成【デコプチカード】本格トレカもシールも作れる,"GATEWEB CO., LTD.",Productivity,4.30949,12850,0.0,2015-03-10,2026-07-29,模試,,,,,,,,,,,,,,,,,,
中学生漢字(手書き＆読み方),"StudySwitch, Inc.",Education,4.56777,12845,0.0,2012-07-03,2025-12-16,漢字検定/漢検,,,,,,,,,,,,,,,,,,
Langmate - 英会話と外国人の友達作り,Langmate Inc.,Education,4.07854,12618,0.0,2016-04-06,2026-07-29,英単語,,,,,,,,,,,,,,,,,,
FP3級学科試験対策問題集,yuth inc.,Education,4.66964,12553,0.0,2021-01-06,2025-03-29,ファイナンシャルプランナー/日商簿記/簿記/試験対策,○,○,○,○,○,,,,,,,○,,,,,,
SPI言語・非言語 就活問題集 -適性検査SPI3対応-,Ann incorporated,Education,4.49135,12087,0.0,2021-11-11,2026-07-15,公務員試験/日本語能力試験,○,○,○,○,○,○,,,,○,○,,,,,,,
Clearnote - 勉強が楽しくなる学習コミュニティ,"CLEAR, K.K.",Education,4.50237,11985,0.0,2013-09-27,2026-07-21,司法書士/通関士,,○,,,,,,,,,,,○,,,,,
Manus AI(マナス) 汎用AIエージェント＆自動化,BUTTERFLY EFFECT PTE. LTD.,Productivity,4.65404,11770,0.0,2025-03-27,2026-07-29,暗記,,,,,,,,,,,,○,,,,,,
小学生手書き計算ドリル,"StudySwitch, Inc.",Education,4.60738,11556,0.0,2021-08-24,2025-10-30,漢字検定,,,○,,,,,,,,,,,,,,,
高校入試対策アプリ - 中学生向け高校入試問題集,Trips LLC,Education,4.65022,11247,0.0,2016-10-30,2026-03-16,過去問,,,○,,,,,,,,,,,,,,,
Lingokids：英語のゲーム,Monkimun Inc,Education,4.20437,11239,0.0,2015-09-11,2026-07-27,単語帳,,,,,,,,,,,,,,○,,,○,
Knockノック-英語・数学の問題を解いてくれる勉強アプリ,Hanji Inc.,Education,4.75593,11210,0.0,2024-10-02,2026-07-16,数検/模試,,,○,,,,,,,,,,,,,,,
白檜辞書,Blazej Stanek,Reference,4.71262,10540,0.0,2015-09-04,2026-06-22,日本語能力試験,,,,,,,,,,,,,,,,,,○
Forest - 集中･勉強タイマー,"SEEKRTECH CO., LTD.",Productivity,4.70367,10350,0.0,2014-05-10,2026-07-25,勉強タイマー/学習記録,,,,,,,,○,,,,,,,○,,,
六法,Catalystwo Limited,Reference,4.66526,10289,0.0,2017-09-14,2026-07-24,公務員試験/司法書士/宅建/宅建士,,,○,,,,,,,,,,○,,,,○,
ケアマネ 過去問 (解説と模試つき),"SOCIAL NOTE CO., LTD.",Education,4.58798,10252,0.0,2020-03-04,2026-05-04,ケアマネジャー/介護福祉士/模試/社会福祉士,,,○,,,,,,,,,,○,,,,,
英単語アプリTANZAM（タンザム）-TOEIC/英検/英語,TANZAM Inc.,Education,4.69109,10246,0.0,2021-02-25,2026-07-22,TOEIC/英単語/英検,○,○,,,,○,○,,,,,,○,,,○,,
漢検3級 - 漢字検定問題集,Trips LLC,Education,4.60344,10160,0.0,2016-01-21,2025-12-12,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
数学検定・数学計算トレーニング,"StudySwitch, Inc.",Education,4.56568,10011,0.0,2015-08-18,2025-12-10,QC検定/数検/検定/漢検,○,,,,,,,,,,,,,,,,,
ring つなげる知識、ひろげる輪,"STARDY, K.K.",Education,4.61069,9861,0.0,2020-09-14,2022-11-27,英単語/英検,○,,,○,,,,,,,,,,,,,,
Langaku（ランガク）マンガ/漫画で楽しく英語学習しよう,MANTRA INC.,Education,4.6342,9795,0.0,2022-06-19,2026-07-28,英単語,,,○,○,,,,,,,,,,,,,,○
社会福祉士 過去問 (解説と模試つき),"SOCIAL NOTE CO., LTD.",Education,4.66814,8826,0.0,2020-02-12,2026-05-04,暗記/模試/社会福祉士/過去問,,,○,,,,,,,,,,,,,,,
漢検2級 - 漢字検定問題集,Trips LLC,Education,4.59544,8775,0.0,2016-01-26,2025-11-11,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
英和辞典 | 和英辞典 English Dictionary,Bravolol Limited,Education,4.58369,8770,0.0,2011-12-15,2026-06-30,TOEFL/TOEIC,,,○,,,,,,,,,,○,○,,,,○
メモ帳　シンプルなメモアプリ,Ryoichi Fukugawa,Productivity,4.5057,8594,0.0,2020-08-03,2026-07-23,数検,,,,,,,,,,,,,,,,,,
毎日漢字 - 漢検対策や日々の漢字練習に,kenji uchi,Education,4.58335,8578,0.0,2018-04-10,2026-07-25,検定/漢字検定/漢検,○,○,,○,,,,,,,,○,,,,○,,
Pythonプログラミング入門,"StudySwitch, Inc.",Education,4.6837,8473,0.0,2020-12-03,2026-02-13,ITパスポート/基本情報技術者,,,○,,,,,,,,,,,,,,,
地理一問一答（解説付き）,"StudySwitch, Inc.",Education,4.70695,8408,0.0,2018-04-29,2026-04-10,一問一答/公務員試験/模試/高卒認定,,,,,,,,,,,,,,,,,,
TOEIC®対策ならSantaアルク AI学習でスコアUP,Socra AI Inc.,Education,4.42615,8375,0.0,2017-08-07,2026-07-17,TOEFL/TOEIC/模試/資格,○,○,○,○,,,,○,,○,,○,○,,,,,
中学生の英単語2000（中学英語よく出る英単語勉強アプリ）,"StudySwitch, Inc.",Education,4.58578,8085,0.0,2012-06-29,2025-11-29,模試/英単語/英検,,○,,,,,,,,,,,,,,,,
パブロフ簿記３級lite,yudai yoseda,Education,4.59007,8077,0.0,2011-09-30,2026-04-03,ファイナンシャルプランナー/介護福祉士/日商簿記/社労士,○,○,○,○,○,,,,,○,,,,○,,,,
"フォーカス・プラント: スマホやめる 依存 対策, 勉強育成","Shikudo Co., Ltd.",Productivity,4.622,7963,0.0,2019-09-02,2026-07-22,勉強タイマー,,,,,,,,○,,,,,,,,,,
漢検準2級 - 漢字検定問題集,Trips LLC,Education,4.62987,7681,0.0,2016-01-21,2025-12-12,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
i-暗記シート -赤字をアプリが消す唯一の暗記アプリ-,BrainApp LLC,Education,4.14703,7604,0.0,2014-02-20,2026-04-13,スキマ時間 学習/暗記/英単語/電気工事士,,,,,,,,,,,○,,,,,,,
tiktak - bằng ô tô tại Nhật,Hau Vu,Education,4.75288,7559,0.0,2022-02-22,2025-11-24,宅建,,,,,,,,,,,,,,,,,,
TEDICT LITE,CoCO SWING,Education,4.6585,7523,0.0,2012-09-21,2026-05-27,TOEFL,,,,,,,,,,,,,,,,,,
AI英会話 無限にトークできる-エンドレス,Purple Incorporated,Education,4.61325,7338,0.0,2023-05-03,2026-07-09,英単語,○,,,○,,,,,,,,,,,,,,
tonton  英単語/韓国語の暗記・勉強を習慣化するポイ活,"ness, Inc.",Education,4.62919,7152,0.0,2025-02-25,2026-07-29,暗記/英単語/英検,,,,○,,,○,,,,,,,,,,,
幼児向けベビーフラッシュカード・動物くだもの絵合わせパズル,Bimi Boo Kids Learning Games for Toddlers FZ LLC,Education,4.20681,7132,0.0,2018-09-23,2026-06-05,フラッシュカード,,,,,,,,,,,,,,,,,,
シフター：シフトカレンダーでバイトや介護のシフト管理,Kosuke Hamada,Productivity,4.3792,6875,0.0,2018-12-08,2025-03-13,保育士,,,,,,,○,,,,,,,,,,,
英語ニュース！StudyNow(リスニングでも英語学習),EOTEC INTERNATIONAL INC.,Education,4.47501,6682,0.0,2014-12-14,2026-07-23,TOEIC/スキマ時間 学習,,○,○,○,,,,○,,,,,,,,,,
スペルで覚える英単語 中１編,nullhouse Inc.,Education,4.42284,6454,0.0,2014-04-18,2023-12-21,暗記/英単語,,,,,,,,,,,,,,,,,,
学びの友 旺文社 公式学習アプリ,"Obunsha Co.,Ltd.",Education,4.60865,6383,0.0,2023-03-26,2026-05-28,模試/英検,,○,,○,○,○,○,,,○,○,,,,,,,
漢字(漢検)勉強・2人でできるオンライン対戦ゲーム：漢字道場,Kazue Kuga,Education,4.75087,6330,0.0,2022-06-02,2026-07-29,漢字検定/漢検,○,,,,,,,,,,○,,,,,,,
リスニングドリル-英語勉強 英語 リスニング 学習 アプリ,Neointro,Education,3.95414,6127,0.0,2012-07-29,2024-02-19,TOEFL,,,,,,,,,,,,,○,,,,,
勉強タイマー 超集中｜波音・雨音×ポモドーロ×記録,Thomson Inc.,Education,4.51802,6075,0.0,2022-12-27,2026-01-31,勉強タイマー/学習記録,,,,,,○,○,,,,,,,,○,,,
中学生の英単語 - 高校受験用英語勉強アプリ,Taro Horiguchi,Education,4.53606,6018,0.0,2020-03-23,2026-07-22,単語帳/英単語/高卒認定,,,,,,○,,,,,,,,,,,,
危険物乙４（おつよん）全問解説,Trips LLC,Education,4.65336,6012,0.0,2021-08-20,2025-12-02,一問一答/危険物取扱者/国家資格/暗記,○,,○,,,,,,,○,,,,,,,,
行政書士 過去問 2026,Trips LLC,Education,4.73318,5993,0.0,2021-04-21,2026-06-24,一問一答/公務員試験/司法書士/国家資格,○,,○,,○,,,,,,,,,,,,,
目標達成タイマー,KAZUTERU YOKOI,Education,4.62608,5929,0.0,2016-05-13,2025-12-20,勉強タイマー/学習記録,,,,,,,,,,,,○,,,○,○,,
日本史の王様-中学歴史・高校日本史の一問一答勉強アプリ,HANAUTA INC.,Education,4.48543,5832,0.0,2012-08-16,2026-07-29,一問一答/暗記,,,,○,,,,,,,,,,,,,,
単語で覚える韓国語 - ハングル勉強アプリ,Taro Horiguchi,Education,4.49599,5736,0.0,2019-12-08,2026-07-22,単語帳,,,,,,,,,,,,,,,,,,
AI英会話Talkful 英語スピーキング・リスニングを勉強,BEND INC.,Education,4.52335,5610,0.0,2024-09-30,2026-07-23,TOEFL/TOEIC/英単語,,○,,○,,,,○,,,,,,,,,○,
