順位,アプリ名,提供元,ジャンル,評価,評価数,画面の緑,緑の系統,画面に占める緑,相方の色,アイコンも緑,公開日,最終更新,App Store
24,日本の歴史クイズ - 日本史 一問一答,"StudySwitch, Inc.",Education,4.5,1457,#396122,深緑,58%,黄,,2014-12-12,2026-02-25,https://apps.apple.com/jp/app/id946696499
25,公務員試験 全問解説 - 独学TODAY,Trips LLC,Education,4.75,1414,#01853B,深緑,77%,橙,○,2022-03-16,2026-07-02,https://apps.apple.com/jp/app/id1614172374
26,キホン動詞英会話,Flipout LLC,Education,4.47,1387,#50B728,中間の緑,93%,赤,○,2017-11-17,2025-12-22,https://apps.apple.com/jp/app/id1303293041
27,脳トレ！ど忘れ漢字クイズ,Trips LLC,Education,4.27,1384,#27A102,中間の緑,64%,青緑,○,2020-06-04,2025-12-08,https://apps.apple.com/jp/app/id1512987752
28,英検®2級の英単語1130 - 英語問題学習アプリ,Taro Horiguchi,Education,4.55,1359,#64D3AD,青緑寄りの緑（エメラルド）,59%,青緑,○,2020-05-16,2026-07-22,https://apps.apple.com/jp/app/id1513478635
29,漢字クイズどっち？,Flipout LLC,Education,4.24,1273,#6DC54E,中間の緑,77%,黄緑,○,2017-12-16,2026-05-01,https://apps.apple.com/jp/app/id1320752588
30,全問解説付 FP2級 学科 一問一答問題集,Tokyo Interactive,Education,4.45,1222,#41C717,明るい緑,93%,赤,○,2011-05-24,2026-07-07,https://apps.apple.com/jp/app/id438388097
31,きりはらの森,KIRIHARA SHOTEN K.K.,Education,2.57,1084,#43A23B,中間の緑,79%,橙,,2015-05-24,2018-05-22,https://apps.apple.com/jp/app/id948121125
32,メンタルヘルス・マネジメント検定試験® Ⅲ種 秒トレ,GINOAPPS LLC.,Education,4.5,1013,#108566,青緑寄りの緑（エメラルド）,57%,黄,,2021-08-13,2026-07-15,https://apps.apple.com/jp/app/id1563543366
33,ポモドーロ集中タイマー: OneThing,Pepper Factory,Productivity,4.71,868,#0E341C,深緑,73%,なし（緑＋無彩色のみ）,,2024-05-02,2026-07-28,https://apps.apple.com/jp/app/id1621897751
34,全問解説付 ITパスポート 一問一答問題集,Tokyo Interactive,Education,4.54,839,#8AD24B,黄緑（ライム）,96%,赤,○,2010-12-19,2026-02-07,https://apps.apple.com/jp/app/id409088248
35,漢字検定・漢検漢字トレーニング（小学生版）,"StudySwitch, Inc.",Education,4.6,704,#3A6224,深緑,52%,黄,,2014-07-15,2024-02-08,https://apps.apple.com/jp/app/id892308305
36,英検準１級 英単語 ブラクストン｜英作文・面接・読解・２次,Ryota Kuroishi,Education,4.68,683,#3D9436,中間の緑,84%,青,○,2023-05-29,2026-07-29,https://apps.apple.com/jp/app/id6449678822
37,応用情報技術者試験 AP 全問解説 - 独学TODAY,Trips LLC,Education,4.71,585,#279F00,中間の緑,77%,赤,○,2023-07-02,2026-07-20,https://apps.apple.com/jp/app/id6449206529
38,英検®準2級の英単語1030 - 英語問題学習アプリ,Taro Horiguchi,Education,4.48,572,#64D3AD,青緑寄りの緑（エメラルド）,59%,青緑,○,2020-05-17,2026-07-22,https://apps.apple.com/jp/app/id1513455662
39,「宅建士」過去問題《受験用》,TK office,Education,4.42,450,#29A214,中間の緑,84%,赤,○,2010-07-02,2026-06-16,https://apps.apple.com/jp/app/id379256460
40,宅建用語集,Limen Inc.,Education,4.5,429,#13A83E,中間の緑,72%,橙,○,2016-09-17,2026-02-08,https://apps.apple.com/jp/app/id1146392049
41,書いて覚える英単語 中学生編 - 高校受験用英語勉強アプリ,Taro Horiguchi,Education,4.35,382,#82EEC0,青緑寄りの緑（エメラルド）,100%,なし（緑＋無彩色のみ）,○,2021-05-26,2022-03-21,https://apps.apple.com/jp/app/id1567655135
42,宅建ゲット,"ETERNA, K.K.",Education,4.94,379,#43CD6E,明るい緑,100%,なし（緑＋無彩色のみ）,○,2024-12-23,2025-02-11,https://apps.apple.com/jp/app/id6739669059
43,恐竜学習カード V2 PRO,Ta Chang Song,Education,4.3,331,#53A068,中間の緑,56%,青,,2020-08-07,2025-07-01,https://apps.apple.com/jp/app/id1526115736
44,eco検定 問題集アプリ　〜エコ検定/環境社会検定試験〜,"KIIRONOKAMO, K.K.",Education,4.19,252,#208F46,中間の緑,69%,青緑,○,2022-10-25,2026-06-17,https://apps.apple.com/jp/app/id6443938132
45,英検®１級単語攻略,Kotake Studio LLC,Education,4.62,230,#8BC349,黄緑（ライム）,86%,赤,○,2023-05-27,2025-08-23,https://apps.apple.com/jp/app/id6449008050
46,漢検9級に出てくる漢字 - 検定試験トレーニングアプリ,Taro Horiguchi,Education,4.6,225,#74B68B,中間の緑,100%,なし（緑＋無彩色のみ）,○,2022-08-23,2026-03-16,https://apps.apple.com/jp/app/id1640916654
47,和英辞典 | 英和辞典 - Erudite,Erudite Education Group Limited,Education,4.46,203,#009A4D,青緑寄りの緑（エメラルド）,88%,青,○,2014-10-22,2024-02-23,https://apps.apple.com/jp/app/id927791564
48,英検®準1級予想問題ドリル,"StudySwitch, Inc.",Education,4.74,183,#79BC47,黄緑（ライム）,96%,なし（緑＋無彩色のみ）,○,2018-06-07,2020-01-16,https://apps.apple.com/jp/app/id1369813693
49,情報セキュリティマネジメント SG - 独学TODAY,Trips LLC,Education,4.58,132,#279F01,中間の緑,77%,赤,○,2025-11-26,2026-07-29,https://apps.apple.com/jp/app/id6752633393
50,毎日漢字！漢字クイズ漢字パズル！漢字読み・漢字間違い探し！,ringopop,Education,4.22,130,#86BB59,黄緑（ライム）,100%,なし（緑＋無彩色のみ）,,2024-04-30,2025-05-28,https://apps.apple.com/jp/app/id6484404378
51,電気系資格 統合版,harada keiko,Productivity,4.07,126,#173611,深緑,92%,赤,,2019-09-09,2024-06-13,https://apps.apple.com/jp/app/id1479263441
52,スタディGO -ワークスペース/自習室・レンタルスペース,"BASE POINT, KK",Productivity,4.53,123,#509D47,中間の緑,64%,青,,2024-02-22,2026-06-08,https://apps.apple.com/jp/app/id6468538136
53,くじら六法,Takashi Shinyashiki,Reference,4.58,121,#57BD8A,青緑寄りの緑（エメラルド）,97%,なし（緑＋無彩色のみ）,,2018-03-09,2026-01-03,https://apps.apple.com/jp/app/id1346464592
54,宅建士  資格試験対策｜D-Learning,Eriya Okuno,Education,4.63,110,#00A847,中間の緑,100%,なし（緑＋無彩色のみ）,○,2020-02-27,2020-03-29,https://apps.apple.com/jp/app/id1499747902
55,英作文が身につくアプリ！ BT Writing,"Best Teacher, Inc.",Education,4.24,93,#42BE00,中間の緑,91%,黄,,2019-04-10,2025-04-11,https://apps.apple.com/jp/app/id1438836695
56,書き取り漢字練習【広告付き】,"NOWPRODUCTION CO.,LTD",Education,3.15,73,#59944E,中間の緑,61%,黄,,2011-07-28,2026-06-22,https://apps.apple.com/jp/app/id452195420
57,TOEIC® 試験対策 - Lingoland,Lingoland Company Limited,Education,4.88,72,#1EB955,中間の緑,99%,なし（緑＋無彩色のみ）,○,2020-08-14,2026-07-29,https://apps.apple.com/jp/app/id1527272490
58,Speak Chinese: 中国語学習 - HSK,Quan Pham Minh,Education,4.66,71,#22D085,青緑寄りの緑（エメラルド）,72%,橙,○,2023-12-23,2026-07-14,https://apps.apple.com/jp/app/id6468914724
59,GX問題集 ベーシック：GXの試験対策用勉強アプリ,"KIIRONOKAMO, K.K.",Education,4.16,70,#096C48,青緑寄りの緑（エメラルド）,89%,青緑,○,2024-07-30,2026-06-12,https://apps.apple.com/jp/app/id6590616951
60,medu4 APP,medu4 Inc.,Education,1.87,68,#3AFDBF,青緑寄りの緑（エメラルド）,95%,なし（緑＋無彩色のみ）,○,2021-03-18,2023-03-13,https://apps.apple.com/jp/app/id1558120067
61,Bluezone Ads - Chặn quảng cáo,Hai Nam Trinh,Reference,4.06,54,#6EB929,黄緑（ライム）,56%,青,,2020-02-06,2020-08-11,https://apps.apple.com/jp/app/id1498041680
62,チャレンジ英単語 for the TOEIC®TEST,Minghua Hu,Education,3.94,50,#8FDE72,明るい緑,77%,桃,,2012-01-22,2026-06-12,https://apps.apple.com/jp/app/id495450617
63,英検®準2級  資格試験対策問題｜D-Learning,Eriya Okuno,Reference,4.21,48,#49C47D,中間の緑,83%,橙,,2021-01-01,2021-07-25,https://apps.apple.com/jp/app/id1536908712
64,画像de英単語 – イラスト・絵で覚える暗記帳,Satoshi Kawazoe,Education,4.5,48,#99BF61,黄緑（ライム）,52%,青緑,,2026-03-05,2026-07-01,https://apps.apple.com/jp/app/id6759098635
65,さくさくおぼえられる百人一首暗記帳,Yuya Fujiwara,Education,4.21,47,#008041,青緑寄りの緑（エメラルド）,100%,なし（緑＋無彩色のみ）,,2016-04-08,2016-04-08,https://apps.apple.com/jp/app/id1099092007
66,斑马百科,"Beijing Yuanli Science and Technology Co., Ltd.",Education,4.45,44,#58D55F,明るい緑,57%,橙,○,2023-04-18,2026-07-21,https://apps.apple.com/jp/app/id1665617086
67,介護福祉士｜しっかり解説の資格試験問題集,Eriya Okuno,Education,4.05,43,#30C34D,中間の緑,100%,なし（緑＋無彩色のみ）,○,2020-10-05,2020-10-05,https://apps.apple.com/jp/app/id1515219136
68,SCOA　試験対策,RUMAHSAKU CORP.,Education,4.56,41,#6CBE70,中間の緑,70%,青,,2025-12-22,2026-07-17,https://apps.apple.com/jp/app/id6756841326
69,이지보카 - 영어단어 어원을 읽어주는 특별한 단어장,shouter inc.,Education,4.63,38,#173E33,青緑寄りの緑（エメラルド）,92%,黄,○,2019-03-23,2025-07-25,https://apps.apple.com/jp/app/id1454492537
70,簿記モバ2級商業簿記,Tomoki Imura,Education,4.53,36,#42B131,中間の緑,54%,橙,○,2021-03-21,2026-05-05,https://apps.apple.com/jp/app/id1545853684
71,貸金業務取扱主任者｜スキマ時間で効率学習,Eriya Okuno,Education,3.28,36,#62DCA1,青緑寄りの緑（エメラルド）,48%,青,,2021-05-01,2021-07-05,https://apps.apple.com/jp/app/id1536907687
72,Vocabulary for the TOEIC®TEST,Li Wang,Education,4.66,35,#449F1B,中間の緑,100%,なし（緑＋無彩色のみ）,○,2015-11-10,2026-06-08,https://apps.apple.com/jp/app/id1053785764
73,介護福祉士 秒トレ：過去問・出題傾向に基づく要点速習アプリ,GINOAPPS LLC.,Education,4.77,30,#118566,青緑寄りの緑（エメラルド）,45%,黄,,2026-06-26,2026-07-26,https://apps.apple.com/jp/app/id6781591563
74,HappyMood - All Games Library,Calliope State School,Reference,3.76,29,#01DD3A,明るい緑,52%,橙,○,2025-10-02,2026-02-19,https://apps.apple.com/jp/app/id6752773778
75,第二種衛生管理者｜スキマ時間で効率学習,Eriya Okuno,Education,4,28,#62DCA1,青緑寄りの緑（エメラルド）,48%,青,,2021-05-01,2021-07-06,https://apps.apple.com/jp/app/id1536906425
76,英検®準1級に受かるアプリ：単語・英作文練習・長文・面接対策,SHOJI DAICHI,Education,4.61,28,#183E1B,深緑,47%,赤,○,2025-03-04,2026-07-12,https://apps.apple.com/jp/app/id6742779610
77,おぼエル 宅建・宅建士,"PINTERNET, WORKS INC.",Education,4.73,26,#3DC83C,明るい緑,90%,青,○,2026-05-19,2026-07-20,https://apps.apple.com/jp/app/id6770285008
78,食品表示検定中級　試験対策,RUMAHSAKU CORP.,Education,3.8,25,#4CB051,中間の緑,79%,青,,2025-08-20,2026-07-10,https://apps.apple.com/jp/app/id6751153794
79,ECO検定：一問一答,shinichi kinuwaki,Education,4.12,24,#ABD385,黄緑（ライム）,46%,青,,2026-02-19,2026-07-04,https://apps.apple.com/jp/app/id6759346992
80,2026年 度版 宅建合格アプリ,"Ken Business School, K.K",Education,2.54,24,#76A961,中間の緑,96%,なし（緑＋無彩色のみ）,○,2022-03-30,2026-06-29,https://apps.apple.com/jp/app/id1613697431
81,英単語アプリetymo｜TOEIC・英検®・受験・TOEFL,Etymo LLC,Education,4.71,24,#00B583,青緑寄りの緑（エメラルド）,75%,青,○,2024-11-19,2026-07-06,https://apps.apple.com/jp/app/id1579065214
82,"パンダ: 保育園キッズ知育ゲーム 2歳, 3歳, 4歳",KidloLand Kids & Toddler Games,Education,4.39,23,#8EE24B,黄緑（ライム）,61%,赤,,2025-10-24,2026-07-20,https://apps.apple.com/jp/app/id6747578865
83,危険物取扱者試験 乙種第4類(乙4)「30日合格プログラム」,ReCorrect Inc.,Education,4.1,21,#8EFFC8,青緑寄りの緑（エメラルド）,62%,青,,2018-10-20,2025-09-24,https://apps.apple.com/jp/app/id1439527297
84,食品安全検定（基礎編）受験対策アプリ,"SHOKUHIN ANZEN KENTEI KYOKAI, GENERAL INC. ASSOCIATION",Education,1.9,20,#42AB67,中間の緑,87%,赤,○,2016-11-28,2019-07-10,https://apps.apple.com/jp/app/id1177840314
85,英単語と日々,Shuto Goto,Education,4.75,20,#0D2B20,青緑寄りの緑（エメラルド）,96%,なし（緑＋無彩色のみ）,,2025-03-31,2026-07-08,https://apps.apple.com/jp/app/id6742532816
86,英検®準2級に受かるアプリ：単語・英作文練習・長文・面接対策,SHOJI DAICHI,Education,4.84,19,#214623,深緑,50%,赤,○,2025-08-10,2026-07-10,https://apps.apple.com/jp/app/id6749671644
87,英検®2級に受かるアプリ：単語・英作文練習・長文・面接対策,SHOJI DAICHI,Education,4.84,19,#1F401B,深緑,48%,橙,○,2025-08-07,2026-07-12,https://apps.apple.com/jp/app/id6749601448
88,ネットワークスペシャリスト｜スキマ時間で効率学習,Eriya Okuno,Education,4.05,19,#62DCA1,青緑寄りの緑（エメラルド）,48%,青,,2021-07-23,2021-07-23,https://apps.apple.com/jp/app/id1536907356
89,安災システム,"HORIKEN SOLUTIONS, CO., LTD",Productivity,4.17,18,#8BEACF,青緑寄りの緑（エメラルド）,64%,橙,,2021-04-06,2026-06-18,https://apps.apple.com/jp/app/id1558783870
90,Painless - TOEIC/英検®/英単語を手軽に学習,Hangzhou Xiangzi Technology Co. Ltd.,Education,4.5,18,#93B25F,黄緑（ライム）,88%,青緑,,2023-11-21,2026-07-20,https://apps.apple.com/jp/app/id6462666974
91,土地家屋調査士 択一マスター,tomoaki hoshi,Education,4.41,17,#77CB8F,明るい緑,88%,赤,○,2025-08-04,2026-07-23,https://apps.apple.com/jp/app/id6745846928
92,【LITE版】 保育士 最短合格 サポート 全問 解説付き,ReCorrect Inc.,Education,4.2,15,#8EFFC8,青緑寄りの緑（エメラルド）,55%,青,,2018-08-06,2025-10-15,https://apps.apple.com/jp/app/id1420309401
93,現場一番,IWAKI STYLE INC.,Productivity,3.2,15,#038C1A,深緑,69%,黄,○,2022-09-08,2025-03-31,https://apps.apple.com/jp/app/id1643106081
94,超级教练-学车考驾照无广告刷题,"Shanghai Eclicks Network CO., LTD.",Education,4.53,15,#54C489,中間の緑,96%,なし（緑＋無彩色のみ）,○,2015-08-22,2026-06-10,https://apps.apple.com/jp/app/id1029042468
95,ケアマネ 秒トレ：スキマ時間でケアマネージャーの試験対策,GINOAPPS LLC.,Education,4.92,13,#108566,青緑寄りの緑（エメラルド）,45%,黄,,2026-07-15,2026-07-22,https://apps.apple.com/jp/app/id6786088678
96,簿記モバ3級Lite,Tomoki Imura,Education,4.69,13,#42B131,中間の緑,59%,なし（緑＋無彩色のみ）,○,2020-09-04,2026-05-05,https://apps.apple.com/jp/app/id1530220647
97,My六法：アプリでつくる、自分だけの法令集,GYOSEI CORPORATION,Reference,4.25,12,#328844,深緑,98%,なし（緑＋無彩色のみ）,○,2025-03-19,2026-02-16,https://apps.apple.com/jp/app/id6738338419
98,保育士 最短合格 サポート 全問 解説付き,ReCorrect Inc.,Education,4,12,#8EFFC8,青緑寄りの緑（エメラルド）,55%,青,,2018-08-04,2025-10-15,https://apps.apple.com/jp/app/id1419357719
99,二級建築士｜スキマ時間で効率学習,Eriya Okuno,Education,4.36,11,#62DCA1,青緑寄りの緑（エメラルド）,48%,青,○,2021-05-01,2021-07-05,https://apps.apple.com/jp/app/id1536906119
100,LeafTimer,Shinya Ema,Productivity,4.27,11,#BADE72,黄緑（ライム）,100%,なし（緑＋無彩色のみ）,○,2020-08-27,2025-11-11,https://apps.apple.com/jp/app/id1520649806
101,勉強アプリsage 社会常識/漢字/英語/脳トレ/エンタメ,Ryo Oyama,Education,4.18,11,#3DA842,中間の緑,59%,青,○,2024-07-02,2025-04-28,https://apps.apple.com/jp/app/id6504094975
102,ケアマネジャー 過去問 2026 一問一答,Minato Apps,Education,4.9,10,#12B980,青緑寄りの緑（エメラルド）,68%,青,○,2026-05-18,2026-07-26,https://apps.apple.com/jp/app/id6767837723
103,登録販売者 試験対策クイズ,"LIBERE CO., LTD.",Education,5,10,#2F7E4A,深緑,52%,青,,2026-03-17,2026-07-20,https://apps.apple.com/jp/app/id6760575248
104,調理師のたまご-パスモン,ryosukE soejimA,Education,3.9,10,#6ABC90,中間の緑,69%,赤,○,2025-08-28,2025-11-25,https://apps.apple.com/jp/app/id6739157763
105,管工事施工管理技士 1級2級：一問一答,shinichi kinuwaki,Education,3.9,10,#7CB243,黄緑（ライム）,74%,赤,,2026-03-18,2026-06-11,https://apps.apple.com/jp/app/id6760645863
106,情報処理技術者試験対策問題集シリーズ,Tokyo Denki University,Education,1.4,10,#90CB85,明るい緑,95%,なし（緑＋無彩色のみ）,,2016-03-18,2017-03-23,https://apps.apple.com/jp/app/id1087318637
107,基本情報の王様ー基本情報技術者試験の受験対策 勉強アプリ,HANAUTA INC.,Education,4.4,10,#3ECD62,明るい緑,85%,橙,○,2024-11-12,2026-07-22,https://apps.apple.com/jp/app/id6737539641
108,発音とタッチで覚える英検２級英単語,Keiko Yukawa,Education,4.6,10,#417504,黄緑（ライム）,100%,なし（緑＋無彩色のみ）,,2014-11-06,2024-06-04,https://apps.apple.com/jp/app/id929008371
109,GAKUDOU - 保護者マイページアプリ（Next）,Exeo Japan Inc.,Education,2.11,9,#8FA467,黄緑（ライム）,51%,青,○,2024-02-27,2024-07-25,https://apps.apple.com/jp/app/id6477284430
110,精神保健福祉士国家試験 過去問アプリ 〜精神保健福祉士〜,"KIIRONOKAMO, K.K.",Education,4.33,9,#529A35,中間の緑,100%,なし（緑＋無彩色のみ）,,2022-12-30,2026-02-13,https://apps.apple.com/jp/app/id1661621420
111,社会福祉士 国試 Smart対策,Takashi Miyazaki,Education,3.78,9,#25B25E,中間の緑,67%,橙,○,2026-03-23,2026-03-24,https://apps.apple.com/jp/app/id6760891005
112,【LITE版】危険物取扱者試験 乙4「30日合格プログラム」,ReCorrect Inc.,Education,3.78,9,#8EFFC8,青緑寄りの緑（エメラルド）,62%,青,,2018-10-20,2025-09-24,https://apps.apple.com/jp/app/id1439549203
113,測量野帳 器高式 〜 現場監督のための水準測量野帳アプリ,Takahide Noro,Productivity,3.56,9,#29A148,中間の緑,99%,なし（緑＋無彩色のみ）,,2023-11-16,2024-04-23,https://apps.apple.com/jp/app/id6470824736
114,中小M&A資格試験対策アプリ,"TIA, K.K",Education,5,8,#51A87F,青緑寄りの緑（エメラルド）,74%,なし（緑＋無彩色のみ）,○,2026-06-12,2026-07-19,https://apps.apple.com/jp/app/id6771700355
115,PROSHAREスケジュール,KENSETSU SYSTEM Co.Ltd.,Productivity,2.5,8,#00805A,青緑寄りの緑（エメラルド）,93%,なし（緑＋無彩色のみ）,○,2019-12-20,2025-08-25,https://apps.apple.com/jp/app/id1480656652
116,QC検定２級 対策アプリ,Daisuke Matsubara,Education,3.38,8,#159268,青緑寄りの緑（エメラルド）,100%,なし（緑＋無彩色のみ）,○,2025-07-28,2025-07-29,https://apps.apple.com/jp/app/id6746664765
117,英検®3級に受かるアプリ：単語・英作文練習・長文・面接対策,SHOJI DAICHI,Education,4.25,8,#1B471D,深緑,47%,橙,○,2025-09-10,2026-07-10,https://apps.apple.com/jp/app/id6752115286
118,KURASEL,"MITSUBISHI JISHO COMMUNITY CO.,LTD.",Productivity,3.75,8,#9AE96F,明るい緑,82%,なし（緑＋無彩色のみ）,,2020-11-05,2025-06-26,https://apps.apple.com/jp/app/id1537942167
119,【全音声講義公開】宅建過去問2022,GYAS K.K.,Education,5,7,#46A756,中間の緑,100%,なし（緑＋無彩色のみ）,○,2022-07-06,2022-10-11,https://apps.apple.com/jp/app/id1631738790
120,公害防止Pass - 公害防止管理者試験 対策,KANDK,Education,4.86,7,#388349,深緑,91%,なし（緑＋無彩色のみ）,○,2026-04-13,2026-07-26,https://apps.apple.com/jp/app/id6761719666
121,給与計算実務能力検定2級　試験対策,RUMAHSAKU CORP.,Education,4,7,#2D5017,深緑,74%,青,,2026-02-16,2026-06-03,https://apps.apple.com/jp/app/id6759089498
122,第２種衛生管理者 「30日合格プログラム」,ReCorrect Inc.,Education,4.14,7,#B9FF83,黄緑（ライム）,45%,青,,2023-02-11,2025-09-24,https://apps.apple.com/jp/app/id1661199932
123,HSK Test - 中国語能力試験模様テスト対策,CAO HUNG LE,Book,3.14,7,#01A36A,青緑寄りの緑（エメラルド）,79%,青緑,○,2021-07-12,2021-11-07,https://apps.apple.com/jp/app/id1573383725
124,ヒンディー文字クイズ,"IZUNA, Inc.",Education,5,7,#47824C,深緑,92%,橙,○,2023-12-22,2024-03-08,https://apps.apple.com/jp/app/id6469104874
125,宅地建物取引士一問一答• 模試对策,"Shanghai Xushu Information Technology Co., Ltd.",Education,3,6,#67A34C,中間の緑,100%,なし（緑＋無彩色のみ）,○,2026-01-22,2026-07-14,https://apps.apple.com/jp/app/id6757780918
126,ITパスポート 完全解説 - 初心者でも一発合格の問題集,Magigull LLC,Education,5,6,#2FD595,青緑寄りの緑（エメラルド）,55%,青緑,○,2026-06-22,2026-06-22,https://apps.apple.com/jp/app/id6769250501
127,簿記3級 第2問対策｜ボキラボ｜勘定記入・補助簿・語句補充,Masaaki Kimura,Education,5,6,#0E3E22,深緑,95%,橙,○,2026-07-14,2026-07-26,https://apps.apple.com/jp/app/id6789789730
128,簿記モバ3級,Tomoki Imura,Education,4.67,6,#43B131,中間の緑,59%,なし（緑＋無彩色のみ）,○,2020-09-01,2026-05-05,https://apps.apple.com/jp/app/id1528704303
129,英語日記をAI添削！英語力アップ - IELTS Diary,Tsubasa Tanabe,Education,4.67,6,#173B24,深緑,98%,なし（緑＋無彩色のみ）,○,2025-06-16,2026-07-03,https://apps.apple.com/jp/app/id6746693025
130,簿記3級 講義動画 問題演習アプリ 簿記の資格勉強,"ONLINE SCHOOL Co.,Ltd",Education,4.8,5,#AAF6C6,明るい緑,68%,青,○,2022-07-12,2026-07-10,https://apps.apple.com/jp/app/id1615687500
131,こそっと過去問,Yamaguchi Shoji,Education,4.6,5,#8CC887,明るい緑,94%,なし（緑＋無彩色のみ）,○,2020-12-30,2021-04-04,https://apps.apple.com/jp/app/id1546884368
132,表計算関数 使い方を覚えて作業効率アップ,"ROUE GARCON CO., LTD.",Productivity,4.2,5,#2EB024,中間の緑,100%,なし（緑＋無彩色のみ）,○,2020-08-04,2021-08-30,https://apps.apple.com/jp/app/id1523613421
